City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,County,Date
Diamantino,-14.41,-56.45,74.21,75,97,1.77,BR,1602560349
Fayaoué,-20.65,166.53,75.96,84,73,15.9,NC,1602560328
Hengshui,37.73,115.7,73.22,20,0,8.25,CN,1602560350
Palmer,42.16,-72.33,52.0,81,90,9.17,US,1602560350
Båtsfjord,70.63,29.72,37.4,86,75,12.75,NO,1602560350
Kuytun,54.34,101.5,31.46,79,42,7.87,RU,1602560350
Cockburn Town,21.46,-71.14,83.21,78,37,13.62,TC,1602560351
Kavieng,-2.57,150.8,84.06,71,63,4.99,PG,1602560351
Bilma,18.69,12.92,81.25,20,4,5.44,NE,1602560351
Gushi,34.64,109.58,53.22,90,100,3.42,CN,1602560351
Salisbury,51.07,-1.8,44.6,100,2,9.17,GB,1602560165
Asău,46.43,26.4,57.99,99,100,3.96,RO,1602560352
Kumul,42.8,93.45,54.07,38,89,8.55,CN,1602560352
Vygonichi,53.1,34.07,46.4,100,90,6.71,RU,1602560352
Santa Cruz,30.42,-9.6,59.0,93,44,4.7,MA,1602560352
Morros,-9.45,-46.3,75.34,70,6,0.16,BR,1602560352
Chaiyaphum,15.75,102.0,74.53,85,100,0.98,TH,1602560352
Fairlie,55.76,-4.86,43.0,93,45,4.7,GB,1602560353
Marzuq,14.4,46.47,73.67,29,0,0.89,YE,1602560353
Terråk,65.09,12.37,39.2,100,2,1.12,NO,1602560353
Mucurapo,10.67,-61.53,78.01,94,20,6.24,TT,1602560353
Kodār,16.98,79.97,74.59,96,100,15.52,IN,1602560353
Keffi,8.85,7.87,71.6,94,14,2.24,NG,1602560354
Alugan,12.22,125.48,82.47,83,100,10.74,PH,1602560354
Pangody,65.85,74.49,33.76,90,98,6.22,RU,1602560354
Izhma,65.01,53.91,43.72,91,98,6.78,RU,1602560354
Gweta,-20.18,25.23,68.49,67,0,7.74,BW,1602560355
Adrar,20.5,-10.07,83.7,41,81,9.22,MR,1602560355
Fuzhou,26.06,119.31,75.2,69,90,22.37,CN,1602560355
Tromsø,69.65,18.96,35.6,83,60,6.93,NO,1602560331
Pitsunda,43.16,40.34,68.0,71,0,11.18,GE,1602560355
Seddon,-37.81,144.89,62.01,67,90,13.87,AU,1602560355
Clarence Town,-32.58,151.78,87.01,28,0,11.41,AU,1602560356
Ramotswa,-24.87,25.87,57.2,93,75,6.93,BW,1602560356
Contamana,-7.33,-75.02,77.99,59,58,0.74,PE,1602560356
Boende,-0.22,20.87,69.04,98,87,2.53,CD,1602560356
Karratha,-20.74,116.85,97.9,18,0,10.02,AU,1602560356
Concarneau,47.88,-3.92,51.8,87,75,8.05,FR,1602560357
‘Ewa Beach,21.32,-158.01,86.0,55,20,8.05,US,1602560357
Nara,34.69,135.8,78.8,47,20,5.82,JP,1602560080
Gandorhun,7.5,-11.83,73.62,96,100,0.58,SL,1602560357
Saquena,-4.67,-73.52,74.89,83,99,2.62,PE,1602560358
Tomatlán,19.93,-105.25,74.12,93,100,3.67,MX,1602560358
Hambantota,6.12,81.12,87.8,66,40,19.46,LK,1602560358
Qasigiannguit,68.82,-51.19,33.8,69,100,5.82,GL,1602560359
Mormugao,15.4,73.8,78.8,88,75,3.36,IN,1602560359
Olafsvik,64.89,-23.71,44.46,85,38,12.01,IS,1602560359
Marawi,8.0,124.29,77.88,82,100,4.09,PH,1602560359
Southbridge,42.08,-72.03,51.01,92,100,11.39,US,1602560359
Talnakh,69.49,88.4,28.4,92,40,4.47,RU,1602560360
Mala,-12.66,-76.63,63.88,78,4,8.08,PE,1602560360
Taitung City,22.76,121.14,87.8,58,20,11.41,TW,1602560360
Saldanha,-33.01,17.94,57.2,82,46,2.24,ZA,1602560360
Havøysund,71.0,24.66,35.6,80,75,13.87,NO,1602560361
Deputatsky,69.3,139.9,15.48,97,100,3.42,RU,1602560361
Fort Nelson,58.81,-122.7,35.6,88,90,3.36,CA,1602560361
Buala,-8.14,159.59,83.7,77,100,12.3,SB,1602560361
Kānkon,15.02,74.02,78.8,88,75,3.36,IN,1602560361
